Node,Category
Russia national football team,National Team
Germany national football team,National Team
Brazil national football team,National Team
Portugal national football team,National Team
Argentina national football team,National Team
Belgium national football team,National Team
Poland national football team,National Team
France national football team,National Team
Spain national football team,National Team
Peru national football team,National Team
Switzerland national football team,National Team
England national football team,National Team
Colombia national football team,National Team
Mexico national football team,National Team
Uruguay national football team,National Team
Croatia national football team,National Team
Denmark national football team,National Team
Iceland national football team,National Team
Costa Rica national football team,National Team
Sweden national football team,National Team
Tunisia national football team,National Team
Egypt national football team,National Team
Senegal national football team,National Team
Iran national football team,National Team
Serbia national football team,National Team
Nigeria national football team,National Team
Australia national soccer team,National Team
Japan national football team,National Team
Morocco national football team,National Team
Panama national football team,National Team
South Korea national football team,National Team
Saudi Arabia national football team,National Team
