Team,Players,Position,Captain
Egypt national football team,Essam El-Hadary,GK,1
Egypt national football team,Ali Gabr,DF,0
Egypt national football team,Ahmed Elmohamady,DF,0
Egypt national football team,Omar Gaber,MF,0
Egypt national football team,Sam Morsy,MF,0
Egypt national football team,Ahmed Hegazi,DF,0
Egypt national football team,Ahmed Fathy,DF,0
Egypt national football team,Tarek Hamed,MF,0
Egypt national football team,Marwan Mohsen,FW,0
Egypt national football team,Mohamed Salah,FW,0
Egypt national football team,Kahraba,FW,0
Egypt national football team,Ayman Ashraf,DF,0
Egypt national football team,Mohamed Abdel-Shafy,DF,0
Egypt national football team,Ramadan Sobhi,FW,0
Egypt national football team,Mahmoud Hamdy,DF,0
Egypt national football team,Sherif Ekramy,GK,0
Egypt national football team,Mohamed Elneny,MF,0
Egypt national football team,Shikabala,FW,0
Egypt national football team,Abdallah Said,MF,0
Egypt national football team,Saad Samir,DF,0
Egypt national football team,Trézéguet,MF,0
Egypt national football team,Amr Warda,FW,0
Egypt national football team,Mohamed El-Shenawy,GK,0
Russia national football team,Igor Akinfeev,GK,0
Russia national football team,Mário Fernandes,DF,0
Russia national football team,Ilya Kutepov,DF,0
Russia national football team,Sergei Ignashevich,DF,0
Russia national football team,Andrei Semyonov,DF,0
Russia national football team,Denis Cheryshev,MF,0
Russia national football team,Daler Kuzyayev,MF,0
Russia national football team,Yury Gazinsky,MF,0
Russia national football team,Alan Dzagoev,MF,0
Russia national football team,Fyodor Smolov,FW,0
Russia national football team,Roman Zobnin,MF,0
Russia national football team,Andrey Lunyov,GK,0
Russia national football team,Fyodor Kudryashov,DF,0
Russia national football team,Vladimir Granat,DF,0
Russia national football team,Aleksei Miranchuk,MF,0
Russia national football team,Anton Miranchuk,MF,0
Russia national football team,Aleksandr Golovin,MF,0
Russia national football team,Yuri Zhirkov,MF,0
Russia national football team,Aleksandr Samedov,MF,0
Russia national football team,Vladimir Gabulov,GK,0
Russia national football team,Aleksandr Yerokhin,MF,0
Russia national football team,Artem Dzyuba,FW,0
Russia national football team,Igor Smolnikov,DF,0
Saudi Arabia national football team,Abdullah Al-Mayouf,GK,0
Saudi Arabia national football team,Mansoor Al-Harbi,DF,0
Saudi Arabia national football team,Osama Hawsawi,DF,1
Saudi Arabia national football team,Ali Al-Bulaihi,DF,0
Saudi Arabia national football team,Omar Hawsawi,DF,0
Saudi Arabia national football team,Mohammed Al-Breik,DF,0
Saudi Arabia national football team,Salman Al-Faraj,MF,0
Saudi Arabia national football team,Yahya Al-Shehri,MF,0
Saudi Arabia national football team,Hattan Bahebri,MF,0
Saudi Arabia national football team,Mohammad Al-Sahlawi,FW,0
Saudi Arabia national football team,Abdulmalek Al-Khaibri,MF,0
Saudi Arabia national football team,Mohamed Kanno,MF,0
Saudi Arabia national football team,Yasser Al-Shahrani,DF,0
Saudi Arabia national football team,Abdullah Otayf,MF,0
Saudi Arabia national football team,Abdullah Al-Khaibari,MF,0
Saudi Arabia national football team,Housain Al-Mogahwi,MF,0
Saudi Arabia national football team,Taisir Al-Jassim,MF,0
Saudi Arabia national football team,Salem Al-Dawsari,MF,0
Saudi Arabia national football team,Fahad Al-Muwallad,FW,0
Saudi Arabia national football team,Muhannad Assiri,FW,0
Saudi Arabia national football team,Yasser Al-Mosailem,GK,0
Saudi Arabia national football team,Mohammed Al-Owais,GK,0
Saudi Arabia national football team,Motaz Hawsawi,DF,0
Uruguay national football team,Fernando Muslera,GK,0
Uruguay national football team,José Giménez,DF,0
Uruguay national football team,Diego Godín,DF,1
Uruguay national football team,Guillermo Varela,DF,0
Uruguay national football team,Carlos Sánchez,MF,0
Uruguay national football team,Rodrigo Bentancur,MF,0
Uruguay national football team,Cristian Rodríguez,MF,0
Uruguay national football team,Nahitan Nández,MF,0
Uruguay national football team,Luis Suárez,FW,0
Uruguay national football team,Giorgian De Arrascaeta,FW,0
Uruguay national football team,Cristhian Stuani,FW,0
Uruguay national football team,Martín Campaña,GK,0
Uruguay national football team,Gastón Silva,DF,0
Uruguay national football team,Lucas Torreira,MF,0
Uruguay national football team,Matías Vecino,MF,0
Uruguay national football team,Maxi Pereira,DF,0
Uruguay national football team,Diego Laxalt,MF,0
Uruguay national football team,Maxi Gómez,FW,0
Uruguay national football team,Sebastián Coates,DF,0
Uruguay national football team,Jonathan Urretaviscaya,FW,0
Uruguay national football team,Edinson Cavani,FW,0
Uruguay national football team,Martín Cáceres,DF,0
Uruguay national football team,Martín Silva,GK,0
Iran national football team,Alireza Beiranvand,GK,0
Iran national football team,Mehdi Torabi,MF,0
Iran national football team,Ehsan Hajsafi,DF,0
Iran national football team,Rouzbeh Cheshmi,DF,0
Iran national football team,Milad Mohammadi,DF,0
Iran national football team,Saeid Ezatolahi,MF,0
Iran national football team,Masoud Shojaei,MF,1
Iran national football team,Morteza Pouraliganji,DF,0
Iran national football team,Omid Ebrahimi,MF,0
Iran national football team,Karim Ansarifard,FW,0
Iran national football team,Vahid Amiri,MF,0
Iran national football team,Mohammad Rashid Mazaheri,GK,0
Iran national football team,Mohammad Reza Khanzadeh,DF,0
Iran national football team,Saman Ghoddos,FW,0
Iran national football team,Pejman Montazeri,DF,0
Iran national football team,Reza Ghoochannejhad,FW,0
Iran national football team,Mehdi Taremi,FW,0
Iran national football team,Alireza Jahanbakhsh,FW,0
Iran national football team,Majid Hosseini,DF,0
Iran national football team,Sardar Azmoun,FW,0
Iran national football team,Ashkan Dejagah,FW,0
Iran national football team,Amir Abedzadeh,GK,0
Iran national football team,Ramin Rezaeian,DF,0
Morocco national football team,Yassine Bounou,GK,0
Morocco national football team,Achraf Hakimi,DF,0
Morocco national football team,Hamza Mendyl,DF,0
Morocco national football team,Manuel da Costa,DF,0
Morocco national football team,Medhi Benatia,DF,1
Morocco national football team,Romain Saïss,DF,0
Morocco national football team,Hakim Ziyech,MF,0
Morocco national football team,Karim El Ahmadi,MF,0
Morocco national football team,Ayoub El Kaabi,FW,0
Morocco national football team,Younès Belhanda,MF,0
Morocco national football team,Fayçal Fajr,MF,0
Morocco national football team,Munir Mohamedi,GK,0
Morocco national football team,Khalid Boutaïb,FW,0
Morocco national football team,Mbark Boussoufa,MF,0
Morocco national football team,Youssef Aït Bennasser,MF,0
Morocco national football team,Nordin Amrabat,MF,0
Morocco national football team,Nabil Dirar,DF,0
Morocco national football team,Amine Harit,MF,0
Morocco national football team,Youssef En-Nesyri,FW,0
Morocco national football team,Aziz Bouhaddouz,FW,0
Morocco national football team,Sofyan Amrabat,MF,0
Morocco national football team,Ahmed Reda Tagnaouti,GK,0
Morocco national football team,Mehdi Carcela,MF,0
Portugal national football team,Rui Patrício,GK,0
Portugal national football team,Bruno Alves,DF,0
Portugal national football team,Pepe,DF,0
Portugal national football team,Manuel Fernandes,MF,0
Portugal national football team,Raphaël Guerreiro,DF,0
Portugal national football team,José Fonte,DF,0
Portugal national football team,Cristiano Ronaldo,FW,1
Portugal national football team,João Moutinho,MF,0
Portugal national football team,André Silva,FW,0
Portugal national football team,João Mário,MF,0
Portugal national football team,Bernardo Silva,MF,0
Portugal national football team,Anthony Lopes,GK,0
Portugal national football team,Rúben Dias,DF,0
Portugal national football team,William Carvalho,MF,0
Portugal national football team,Ricardo Pereira,DF,0
Portugal national football team,Bruno Fernandes,MF,0
Portugal national football team,Gonçalo Guedes,FW,0
Portugal national football team,Gelson Martins,FW,0
Portugal national football team,Mário Rui,DF,0
Portugal national football team,Ricardo Quaresma,FW,0
Portugal national football team,Cédric,DF,0
Portugal national football team,Beto,GK,0
Portugal national football team,Adrien Silva,MF,0
Spain national football team,David de Gea,GK,0
Spain national football team,Dani Carvajal,DF,0
Spain national football team,Gerard Piqué,DF,0
Spain national football team,Nacho,DF,0
Spain national football team,Sergio Busquets,MF,0
Spain national football team,Andrés Iniesta,MF,0
Spain national football team,Saúl,MF,0
Spain national football team,Koke,MF,0
Spain national football team,Rodrigo,FW,0
Spain national football team,Thiago,MF,0
Spain national football team,Lucas Vázquez,FW,0
Spain national football team,Álvaro Odriozola,DF,0
Spain national football team,Kepa Arrizabalaga,GK,0
Spain national football team,César Azpilicueta,DF,0
Spain national football team,Sergio Ramos,DF,1
Spain national football team,Nacho Monreal,DF,0
Spain national football team,Iago Aspas,FW,0
Spain national football team,Jordi Alba,DF,0
Spain national football team,Diego Costa,FW,0
Spain national football team,Marco Asensio,MF,0
Spain national football team,David Silva,FW,0
Spain national football team,Isco,MF,0
Spain national football team,Pepe Reina,GK,0
Australia national soccer team,Mathew Ryan,GK,0
Australia national soccer team,Milos Degenek,DF,0
Australia national soccer team,James Meredith,DF,0
Australia national soccer team,Tim Cahill,FW,0
Australia national soccer team,Mark Milligan,DF,0
Australia national soccer team,Matthew Jurman,DF,0
Australia national soccer team,Mathew Leckie,FW,0
Australia national soccer team,Massimo Luongo,MF,0
Australia national soccer team,Tomi Juric,FW,0
Australia national soccer team,Robbie Kruse,FW,0
Australia national soccer team,Andrew Nabbout,FW,0
Australia national soccer team,Brad Jones,GK,0
Australia national soccer team,Aaron Mooy,MF,0
Australia national soccer team,Jamie Maclaren,FW,0
Australia national soccer team,Mile Jedinak,MF,1
Australia national soccer team,Aziz Behich,DF,0
Australia national soccer team,Daniel Arzani,FW,0
Australia national soccer team,Danny Vukovic,GK,0
Australia national soccer team,Josh Risdon,DF,0
Australia national soccer team,Trent Sainsbury,DF,0
Australia national soccer team,Dimitri Petratos,FW,0
Australia national soccer team,Jackson Irvine,MF,0
Australia national soccer team,Tom Rogic,MF,0
Denmark national football team,Kasper Schmeichel,GK,0
Denmark national football team,Michael Krohn-Dehli,MF,0
Denmark national football team,Jannik Vestergaard,DF,0
Denmark national football team,Simon Kjær,DF,1
Denmark national football team,Jonas Knudsen,DF,0
Denmark national football team,Andreas Christensen,DF,0
Denmark national football team,William Kvist,MF,0
Denmark national football team,Thomas Delaney,MF,0
Denmark national football team,Nicolai Jørgensen,FW,0
Denmark national football team,Christian Eriksen,MF,0
Denmark national football team,Martin Braithwaite,FW,0
Denmark national football team,Kasper Dolberg,FW,0
Denmark national football team,Mathias Jørgensen,DF,0
Denmark national football team,Henrik Dalsgaard,DF,0
Denmark national football team,Viktor Fischer,FW,0
Denmark national football team,Jonas Lössl,GK,0
Denmark national football team,Jens Stryger Larsen,DF,0
Denmark national football team,Lukas Lerager,MF,0
Denmark national football team,Lasse Schöne,MF,0
Denmark national football team,Yussuf Poulsen,FW,0
Denmark national football team,Andreas Cornelius,FW,0
Denmark national football team,Frederik Rønnow,GK,0
Denmark national football team,Pione Sisto,FW,0
France national football team,Hugo Lloris,GK,1
France national football team,Benjamin Pavard,DF,0
France national football team,Presnel Kimpembe,DF,0
France national football team,Raphaël Varane,DF,0
France national football team,Samuel Umtiti,DF,0
France national football team,Paul Pogba,MF,0
France national football team,Antoine Griezmann,FW,0
France national football team,Thomas Lemar,FW,0
France national football team,Olivier Giroud,FW,0
France national football team,Kylian Mbappé,FW,0
France national football team,Ousmane Dembélé,FW,0
France national football team,Corentin Tolisso,MF,0
France national football team,N'Golo Kanté,MF,0
France national football team,Blaise Matuidi,MF,0
France national football team,Steven Nzonzi,MF,0
France national football team,Steve Mandanda,GK,0
France national football team,Adil Rami,DF,0
France national football team,Nabil Fekir,FW,0
France national football team,Djibril Sidibé,DF,0
France national football team,Florian Thauvin,FW,0
France national football team,Lucas Hernández,DF,0
France national football team,Benjamin Mendy,DF,0
France national football team,Alphonse Areola,GK,0
Peru national football team,Pedro Gallese,GK,0
Peru national football team,Alberto Rodríguez,DF,0
Peru national football team,Aldo Corzo,DF,0
Peru national football team,Anderson Santamaría,DF,0
Peru national football team,Miguel Araujo,DF,0
Peru national football team,Miguel Trauco,DF,0
Peru national football team,Paolo Hurtado,MF,0
Peru national football team,Christian Cueva,MF,0
Peru national football team,Paolo Guerrero,FW,1
Peru national football team,Jefferson Farfán,FW,0
Peru national football team,Raúl Ruidíaz,FW,0
Peru national football team,Carlos Cáceda,GK,0
Peru national football team,Renato Tapia,MF,0
Peru national football team,Andy Polo,MF,0
Peru national football team,Christian Ramos,DF,0
Peru national football team,Wilder Cartagena,MF,0
Peru national football team,Luis Advíncula,DF,0
Peru national football team,André Carrillo,FW,0
Peru national football team,Yoshimar Yotún,MF,0
Peru national football team,Edison Flores,FW,0
Peru national football team,José Carvallo,GK,0
Peru national football team,Nilson Loyola,DF,0
Peru national football team,Pedro Aquino,MF,0
Argentina national football team,Nahuel Guzmán,GK,0
Argentina national football team,Gabriel Mercado,DF,0
Argentina national football team,Nicolás Tagliafico,DF,0
Argentina national football team,Cristian Ansaldi,DF,0
Argentina national football team,Lucas Biglia,MF,0
Argentina national football team,Federico Fazio,DF,0
Argentina national football team,Éver Banega,MF,0
Argentina national football team,Marcos Acuña,DF,0
Argentina national football team,Gonzalo Higuaín,FW,0
Argentina national football team,Lionel Messi,FW,1
Argentina national football team,Ángel Di María,MF,0
Argentina national football team,Franco Armani,GK,0
Argentina national football team,Maximiliano Meza,MF,0
