source,target
0,51
0,196
0,200
0,201
0,202
0,238
0,239
0,290
0,291
0,303
0,352
0,472
0,598
0,604
0,608
0,625
0,647
0,715
1,11
1,46
1,56
1,66
1,90
1,155
1,193
1,212
1,218
1,229
1,273
1,280
1,288
1,289
1,319
1,328
1,430
1,459
1,509
1,511
1,520
1,594
1,620
1,629
1,630
1,669
1,689
1,696
2,99
2,131
2,135
2,164
2,191
2,216
2,248
2,286
2,314
2,330
2,361
2,445
2,450
2,475
2,485
2,556
2,571
2,626
2,666
2,670
2,680
4,41
4,49
4,110
4,401
5,42
5,49
5,74
5,111
5,114
5,122
5,126
5,147
5,232
5,242
5,276
5,325
5,334
5,341
5,349
5,350
5,390
5,401
5,421
5,425
5,429
5,452
5,457
5,464
5,477
5,493
5,544
5,553
5,564
5,573
5,576
5,582
5,594
5,599
5,606
5,613
5,686
5,711
5,725
6,89
6,441
6,455
6,457
6,665
7,67
7,264
7,712
8,37
8,77
8,83
8,98
8,99
8,135
8,150
8,164
8,197
8,198
8,216
8,287
8,330
8,450
8,475
8,485
8,600
8,626
8,666
8,699
8,733
9,75
9,107
9,189
9,203
9,204
9,224
9,236
9,409
9,482
9,492
9,581
9,617
9,621
9,648
10,266
10,320
10,607
10,723
11,1
11,56
11,66
11,90
11,93
11,193
11,212
11,273
11,280
11,289
11,318
11,319
11,321
11,328
11,430
11,459
11,481
11,503
11,509
11,511
11,514
11,520
11,629
11,630
11,631
11,689
11,696
12,47
12,52
12,60
12,108
12,124
12,162
12,323
12,326
12,376
12,547
12,565
12,616
12,635
13,15
13,19
13,21
13,22
13,23
13,25
13,26
13,28
13,30
13,31
13,32
13,53
13,246
13,297
13,298
13,299
13,525
14,26
14,29
14,64
14,356
15,13
15,18
15,19
15,21
15,22
15,23
15,25
15,28
15,30
15,31
15,32
15,53
15,297
15,298
15,299
15,525
16,300
16,707
16,720
18,15
18,27
19,13
19,15
19,21
19,22
19,23
19,25
19,26
19,28
19,30
19,31
19,32
19,53
19,246
19,297
19,298
19,299
19,525
21,13
21,15
21,19
21,22
21,23
21,25
21,26
21,28
21,30
21,31
21,32
21,53
21,297
21,298
21,299
21,525
22,13
22,15
22,19
22,21
22,23
22,25
22,26
22,28
22,30
22,31
22,32
22,53
22,297
22,298
22,299
22,525
23,13
23,15
23,19
23,21
23,22
23,25
23,26
23,28
