index,Node,Category,true_label
0,Mohamed Abdel-Shafy,player,Egypt national football team
1,Shehu Abdullahi,player,Nigeria national football team
2,Amir Abedzadeh,player,Iran national football team
3,Johnny Acosta,player,Costa Rica national football team
4,Marcos Acuña,player,Argentina national football team
5,Luis Advíncula,player,Peru national football team
6,Sergio Agüero,player,Argentina national football team
7,Abel Aguilar,player,Colombia national football team
8,Youssef Aït Bennasser,player,Morocco national football team
9,Manuel Akanji,player,Switzerland national football team
10,Igor Akinfeev,player,Russia national football team
11,Daniel Akpeyi,player,Nigeria national football team
12,Jordi Alba,player,Spain national football team
13,Mohammed Al-Breik,player,Saudi Arabia national football team
14,Ali Al-Bulaihi,player,Saudi Arabia national football team
15,Salem Al-Dawsari,player,Saudi Arabia national football team
16,Toby Alderweireld,player,Belgium national football team
17,Trent Alexander-Arnold,player,England national football team
18,Salman Al-Faraj,player,Saudi Arabia national football team
19,Mansoor Al-Harbi,player,Saudi Arabia national football team
20,"Alisson (footballer, born 1992)",player,Not found or not a player
21,Taisir Al-Jassim,player,Saudi Arabia national football team
22,Abdullah Al-Khaibari,player,Saudi Arabia national football team
23,Abdulmalek Al-Khaibri,player,Saudi Arabia national football team
24,Dele Alli,player,England national football team
25,Abdullah Al-Mayouf,player,Saudi Arabia national football team
26,Housain Al-Mogahwi,player,Saudi Arabia national football team
27,Yasser Al-Mosailem,player,Saudi Arabia national football team
28,Fahad Al-Muwallad,player,Saudi Arabia national football team
29,Mohammed Al-Owais,player,Saudi Arabia national football team
30,Mohammad Al-Sahlawi,player,Saudi Arabia national football team
31,Yasser Al-Shahrani,player,Saudi Arabia national football team
32,Yahya Al-Shehri,player,Saudi Arabia national football team
33,Edson Álvarez,player,Mexico national football team
34,Bruno Alves,player,Portugal national football team
35,Vahid Amiri,player,Iran national football team
36,Nordin Amrabat,player,Morocco national football team
37,Sofyan Amrabat,player,Morocco national football team
38,Cristian Ansaldi,player,Argentina national football team
39,Karim Ansarifard,player,Iran national football team
40,Javier Aquino,player,Mexico national football team
41,Pedro Aquino,player,Peru national football team
42,Miguel Araujo,player,Peru national football team
43,Alphonse Areola,player,France national football team
44,Santiago Arias,player,Colombia national football team
45,Franco Armani,player,Argentina national football team
46,Kári Árnason,player,Iceland national football team
47,Kepa Arrizabalaga,player,Spain national football team
48,Abdiel Arroyo,player,Panama national football team
49,Daniel Arzani,player,Australia national soccer team
50,Marco Asensio,player,Spain national football team
51,Ayman Ashraf,player,Egypt national football team
52,Iago Aspas,player,Spain national football team
53,Muhannad Assiri,player,Saudi Arabia national football team
54,Ludwig Augustinsson,player,Sweden national football team
55,Ricardo Ávila,player,Panama national football team
56,Chidozie Awaziem,player,Nigeria national football team
57,Hugo Ayala,player,Mexico national football team
58,Sardar Azmoun,player,Iran national football team
59,Randall Azofeifa,player,Costa Rica national football team
60,César Azpilicueta,player,Spain national football team
61,Carlos Bacca,player,Colombia national football team
62,Milan Badelj,player,Croatia national football team
63,Anice Badri,player,Tunisia national football team
64,Hattan Bahebri,player,Saudi Arabia national football team
65,Keita Baldé,player,Senegal national football team
66,Leon Balogun,player,Nigeria national football team
67,Felipe Baloy,player,Panama national football team
68,Éver Banega,player,Argentina national football team
69,Édgar Yoel Bárcenas,player,Not found or not a player
70,Wílmar Barrios,player,Colombia national football team
71,Michy Batshuayi,player,Belgium national football team
72,Jan Bednarek (footballer),player,Not found or not a player
73,Rami Bedoui,player,Tunisia national football team
74,Aziz Behich,player,Australia national soccer team
75,Valon Behrami,player,Switzerland national football team
76,Alireza Beiranvand,player,Iran national football team
77,Younès Belhanda,player,Morocco national football team
78,Mohamed Amine Ben Amor,player,Tunisia national football team
79,Farouk Ben Mustapha,player,Tunisia national football team
80,Fakhreddine Ben Youssef,player,Tunisia national football team
81,Syam Ben Youssef,player,Tunisia national football team
82,Yohan Benalouane,player,Tunisia national football team
83,Medhi Benatia,player,Morocco national football team
84,Rodrigo Bentancur,player,Uruguay national football team
85,Bartosz Bereszyński,player,Poland national football team
86,Marcus Berg,player,Sweden national football team
87,"Beto (footballer, born 1982)",player,Not found or not a player
88,Bartosz Białkowski,player,Poland national football team
89,Lucas Biglia,player,Argentina national football team
90,Birkir Bjarnason,player,Iceland national football team
91,Jakub Błaszczykowski,player,Poland national football team
92,Jérôme Boateng,player,Germany national football team
93,Jón Daði Böðvarsson,player,Iceland national football team
94,Christian Bolaños,player,Costa Rica national football team
95,Celso Borges,player,Costa Rica national football team
96,Miguel Borja,player,Colombia national football team
97,Aziz Bouhaddouz,player,Morocco national football team
98,Yassine Bounou,player,Morocco national football team
99,Mbark Boussoufa,player,Morocco national football team
100,Khalid Boutaïb,player,Morocco national football team
101,Dedryck Boyata,player,Belgium national football team
102,Filip Bradarić,player,Croatia national football team
103,Martin Braithwaite,player,Denmark national football team
104,Julian Brandt,player,Germany national football team
105,Dylan Bronn,player,Tunisia national football team
106,Marcelo Brozović,player,Croatia national football team
107,Roman Bürki,player,Switzerland national football team
108,Sergio Busquets,player,Spain national football team
109,Jack Butland,player,England national football team
110,Willy Caballero,player,Argentina national football team
111,Carlos Cáceda,player,Peru national football team
112,Martín Cáceres,player,Uruguay national football team
113,Gary Cahill,player,England national football team
114,Tim Cahill,player,Australia national soccer team
115,José Calderón (Panamanian footballer),player,Not found or not a player
116,Duje Ćaleta-Car,player,Croatia national football team
117,Francisco Calvo,player,Costa Rica national football team
118,Martín Campaña,player,Uruguay national football team
119,Joel Campbell,player,Costa Rica national football team
120,Mehdi Carcela,player,Morocco national football team
121,Yannick Carrasco,player,Belgium national football team
122,André Carrillo,player,Peru national football team
123,Wilder Cartagena,player,Peru national football team
124,Dani Carvajal,player,Spain national football team
125,William Carvalho,player,Portugal national football team
126,José Carvallo,player,Peru national football team
127,Casemiro,player,Brazil national football team
128,Cássio Ramos,player,Not found or not a player
129,Koen Casteels,player,Belgium national football team
130,Edinson Cavani,player,Uruguay national football team
131,Cédric Soares,player,Not found or not a player
132,Ghailene Chaalali,player,Tunisia national football team
133,Nacer Chadli,player,Belgium national football team
134,Denis Cheryshev,player,Russia national football team
135,Rouzbeh Cheshmi,player,Iran national football team
136,Jo Hyeon-woo,player,South Korea national football team
137,Andreas Christensen,player,Denmark national football team
138,Thiago Cionek,player,Poland national football team
139,Viktor Claesson,player,Sweden national football team
140,Sebastián Coates,player,Uruguay national football team
141,Daniel Colindres,player,Costa Rica national football team
142,Armando Cooper,player,Panama national football team
143,Vedran Ćorluka,player,Croatia national football team
144,Andreas Cornelius,player,Denmark national football team
145,Jesús Manuel Corona,player,Mexico national football team
146,José de Jesús Corona,player,Mexico national football team
147,Aldo Corzo,player,Peru national football team
148,Diego Costa,player,Spain national football team
149,Douglas Costa,player,Brazil national football team
150,Manuel da Costa (footballer),player,Not found or not a player
151,Thibaut Courtois,player,Belgium national football team
152,Philippe Coutinho,player,Brazil national football team
153,José Fernando Cuadrado,player,Colombia national football team
154,Juan Cuadrado,player,Colombia national football team
155,Christian Cueva,player,Peru national football team
156,Harold Cummings,player,Panama national football team
157,Henrik Dalsgaard,player,Denmark national football team
158,"Danilo (footballer, born July 1991)",player,Not found or not a player
159,Erick Davis,player,Panama national football team
160,Giorgian De Arrascaeta,player,Uruguay national football team
161,Kevin De Bruyne,player,Belgium national football team
162,David de Gea,player,Spain national football team
163,Milos Degenek,player,Australia national soccer team
164,Ashkan Dejagah,player,Iran national football team
165,Thomas Delaney,player,Denmark national football team
166,Fabian Delph,player,England national football team
167,Mousa Dembélé (Belgian footballer),player,Not found or not a player
168,Ousmane Dembélé,player,France national football team
169,Leander Dendoncker,player,Belgium national football team
170,Ángel Di María,player,Argentina national football team
171,Abdoulaye Diallo,player,Senegal national football team
172,Rúben Dias,player,Portugal national football team
173,Farid Díaz,player,Colombia national football team
174,"Ismael Díaz (footballer, born 1997)",player,Not found or not a player
175,Eric Dier,player,England national football team
176,Mame Biram Diouf,player,Senegal national football team
177,Nabil Dirar,player,Morocco national football team
178,Johan Djourou,player,Switzerland national football team
179,Marko Dmitrović,player,Serbia national football team
180,Kasper Dolberg,player,Denmark national football team
181,Giovani dos Santos,player,Mexico national football team
182,Jonathan dos Santos,player,Mexico national football team
183,Julian Draxler,player,Germany national football team
184,Josip Drmić,player,Switzerland national football team
185,Óscar Duarte (Costa Rican footballer),player,Not found or not a player
186,Jimmy Durmaz,player,Sweden national football team
187,Paulo Dybala,player,Argentina national football team
188,Alan Dzagoev,player,Russia national football team
189,Blerim Džemaili,player,Switzerland national football team
190,Artem Dzyuba,player,Russia national football team
191,Omid Ebrahimi,player,Iran national football team
192,Tyronne Ebuehi,player,Nigeria national football team
193,Elderson Echiéjilé,player,Nigeria national football team
194,Ederson Moraes,player,Not found or not a player
195,Albin Ekdal,player,Sweden national football team
196,Sherif Ekramy,player,Egypt national football team
197,Karim El Ahmadi,player,Morocco national football team
198,Ayoub El Kaabi,player,Morocco national football team
199,Essam El-Hadary,player,Egypt national football team
200,Mohamed El-Shenawy,player,Egypt national football team
201,Ahmed Elmohamady,player,Egypt national football team
202,Mohamed Elneny,player,Egypt national football team
203,Nico Elvedi,player,Switzerland national football team
204,Breel Embolo,player,Switzerland national football team
205,Youssef En-Nesyri,player,Morocco national football team
206,Wataru Endo,player,Japan national football team
207,Christian Eriksen,player,Denmark national football team
